Rang,Stadt,Gesamtwertung,Verwaltung,IT und Kommunikation,Energie und Umwelt,Mobilität,Gesellschaft,Einwohner,Area
1,Hamburg,79.5,70.6,82.7,61.4,93.7,89.3,1841179,755
2,Karlsruhe,69.0,65.1,67.8,54.4,95.2,62.5,313092,173
3,Stuttgart,68.6,57.6,78.0,52.5,97.0,57.8,634830,207
4,Berlin,68.1,76.3,69.3,52.0,75.5,67.3,3644826,891
5,München,67.7,73.0,82.2,49.0,83.8,50.3,1471508,310
6,Heidelberg,65.6,69.3,56.8,55.1,87.5,59.0,160355,108
7,Bonn,62.4,75.8,66.4,31.3,64.7,73.9,327258,141
8,Köln,62.3,68.4,83.5,40.7,54.7,63.9,1085664,405
9,Dortmund,61.7,75.3,54.0,49.6,59.3,70.4,587010,280
10,Darmstadt,61.1,66.6,61.9,55.9,59.1,62.0,159207,122
11,Aachen,60.7,56.1,68.4,46.1,75.6,57.5,247380,160
12,Frankfurt am Main,59.6,53.3,65.0,36.4,67.1,76.3,753056,248
13,Düsseldorf,57.6,49.4,67.1,33.7,81.8,56.0,619294,217
14,Dresden,57.1,58.1,53.8,33.8,85.2,54.6,554649,328
15,Potsdam,56.2,55.5,54.3,45.6,73.0,52.6,178089,188
16,Kiel,55.8,54.6,68.7,51.3,48.9,55.4,247548,118
17,Leipzig,55.7,61.4,64.1,47.5,46.6,58.8,587857,297
18,Nürnberg,55.6,68.7,62.0,42.6,65.9,38.9,518365,186
19,Bielefeld,55.1,73.6,44.5,38.1,64.3,55.1,333786,258
20,Mannheim,54.6,77.6,66.1,27.3,46.0,56.2,309370,144
21,Ingolstadt,54.5,72.1,63.5,43.6,45.2,48.3,136981,133
22,Wuppertal,54.4,58.3,53.1,29.7,45.1,85.9,354382,168
23,Hannover,53.9,67.9,63.9,50.4,51.5,35.7,538068,204
24,Augsburg,53.5,73.3,58.4,41.0,45.6,49.2,295135,146
25,Freiburg im Breisgau,53.3,60.1,57.9,39.4,43.9,65.5,230241,153
26,Wiesbaden,53.1,58.2,80.8,33.1,49.9,43.7,278342,203
27,Münster,52.6,64.1,47.2,50.9,48.2,52.6,314319,303
28,Braunschweig,50.0,52.3,59.0,37.6,47.7,53.4,248292,192
29,Ulm,49.7,44.2,72.9,37.5,27.0,66.7,126329,118
30,Erfurt,49.3,51.4,43.4,36.4,61.9,53.6,213699,269
31,Osnabrück,49.2,62.6,61.4,42.3,48.6,31.0,164748,119
32,Bochum,48.8,44.2,64.9,26.5,43.4,65.2,364628,145
33,Duisburg,48.5,56.6,52.8,34.6,56.4,42.3,498590,232
34,Oldenburg,48.2,47.3,71.0,53.8,29.8,39.3,169077,103
35,Kassel,48.2,52.9,48.5,30.5,48.3,60.7,201585,106
36,Halle (Saale),48.1,65.2,45.6,21.6,46.9,61.4,239257,135
37,Wolfsburg,48.1,70.2,50.2,29.7,45.2,45.1,124151,204
